name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,x_pixel,y_pixel,incident,incident_dist,incident_latitude,incident_longitude,check
Mesa Grande,33.188869,-116.760651,4280,mg,n,"[-116.761, 33.63880850448595]","[-117.14150781766253, 33.50619211003771]","[-116.38049218233746, 33.50619211003771]",2,20190716,1564,951,Meadow Fire,22.56677578,33.514658,-116.7884,1
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20190715,686,713,Meadow Fire,51.11589676,33.514658,-116.7884,0
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20190715,656,716,Meadow Fire,51.11589676,33.514658,-116.7884,0
Mt. Laguna Observatory,32.8397,-116.4265,6180,mlo,s,"[-116.4265, 32.38883368733383]","[-116.05020284502775, 32.52032661974371]","[-116.80279715497225, 32.52032661974371]",11,20190715,1184,728,Meadow Fire,51.11589676,33.514658,-116.7884,0
Sky Oaks,33.3787,-116.6223,4975,sojr,w,"[-117.15962955909717, 33.3787]","[-117.00087378100844, 33.05934247907212]","[-117.00364625930078, 33.6968780816769]",3,20190716,1258,669,Meadow Fire,13.41422793,33.514658,-116.7884,1
Toro Peak,33.5235,-116.4257,8800,tp,s,"[-116.4257, 33.072683110213006]","[-116.0465041676762, 33.20414675463602]","[-116.80489583232381, 33.204146754636014]",2,20170826,1187,740,Montezuma Fire,21.81859852,33.20988,-116.46989,1
Santiago Peak,33.71117247,-117.534115,5700,stgo,e,"[0, 0]","[0, 0]","[0, 0]",3,20180725,1440,968,None,0,0,0,0
Big Black Mountain,33.1599,-116.8081,4055,bm,e,"[-116.27210868391522, 33.1599]","[-116.42771506038892, 33.478094173241445]","[-116.43045773522505, 32.840536030162966]",1,20191005,748,1033,None,0,0,0,0
Big Black Mountain,33.1599,-116.8081,4055,bm,s,"[-116.8081, 32.709056764890555]","[-116.43045773522505, 32.840536030162966]","[-117.18574226477494, 32.840536030162966]",2,20200521,368,1024,None,0,0,0,0
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20200705,890,1117,None,0,0,0,0
Big Black Mountain,33.1599,-116.8081,4055,bm,w,"[-117.34409131608477, 33.1599]","[-117.18574226477494, 32.840536030162966]","[-117.18848493961107, 33.478094173241445]",3,20201003,2257,1081,None,0,0,0,0
Black Mountain,32.98166822,-117.1164071,1600,bl,n,"[-117.12, 33.43082361873078]","[-117.49960229720907, 33.298207358327076]","[-116.74039770279094, 33.298207358327076]",3,20190829,926,862,None,0,0,0,0
Boucher Hill,33.3346,-116.9198,5500,bh,s,"[-116.9198, 32.8837694047889]","[-116.54141478414488, 33.01524117811553]","[-117.29818521585511, 33.01524117811554]",4,20201207,1171,1040,None,0,0,0,0
