camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren16_west,west,Mt. San Miguel,sm-w-mobo-c,-116.936262,32.69688501,2550.0,Point,"[-116.94, 32.7, 2550]",3072.0,2048.0,32.69764572,-116.9976528,http://hpwren.ucsd.edu/cameras/SM.html
hpwren17_north,north,Mt. Soledad,ms-n-mobo-c,-117.2485966,32.83992291,730.0,Point,"[-117.25, 32.84, 730]",2048.0,1536.0,32.85520812,-117.2485092,http://hpwren.ucsd.edu/cameras/ms-n-mobo.html
hpwren19_north,north,Mt. Woodson,wc-n-mobo-c-deg,-116.9709795,33.00873795,2800.0,Point,"[-116.9709, 33.0087, 2800]",3072.0,2048.0,33.01771275,-116.9695941,http://hpwren.ucsd.edu/cameras/MW-wc.html
hpwren19_east,east,Mt. Woodson,wc-e-mobo-c-deg,-116.9709795,33.00873795,2800.0,Point,"[-116.9709, 33.0087, 2800]",3072.0,2048.0,33.00711327,-116.9584223,http://hpwren.ucsd.edu/cameras/MW-wc.html
hpwren19_south,south,Mt. Woodson,wc-s-mobo-c-deg,-116.9709795,33.00873795,2800.0,Point,"[-116.9709, 33.0087, 2800]",3072.0,2048.0,32.95474176,-116.9944478,http://hpwren.ucsd.edu/cameras/MW-wc.html
hpwren19_west,west,Mt. Woodson,wc-w-mobo-c-deg,-116.9709795,33.00873795,2800.0,Point,"[-116.9709, 33.0087, 2800]",3072.0,2048.0,33.00904878,-116.9734538,http://hpwren.ucsd.edu/cameras/MW-wc.html
hpwren20_north,north,Otay Mountain,om-n-mobo-c,-116.8446941,32.59476209,3565.0,Point,"[-116.8447, 32.5948, 3565]",3072.0,2048.0,32.60237051,-116.844502,http://hpwren.ucsd.edu/cameras/OM.html
hpwren20_east,east,Otay Mountain,om-e-mobo-c,-116.8446941,32.59476209,3565.0,Point,"[-116.8447, 32.5948, 3565]",3072.0,2048.0,32.59481057,-116.836819,http://hpwren.ucsd.edu/cameras/OM.html
hpwren20_south,south,Otay Mountain,om-s-mobo-c,-116.8446941,32.59476209,3565.0,Point,"[-116.8447, 32.5948, 3565]",3072.0,2048.0,32.59424175,-116.8446861,http://hpwren.ucsd.edu/cameras/OM.html
hpwren20_west,west,Otay Mountain,om-w-mobo-c,-116.8446941,32.59476209,3565.0,Point,"[-116.8447, 32.5948, 3565]",3072.0,2048.0,32.59483593,-116.8517775,http://hpwren.ucsd.edu/cameras/OM.html
