,Unnamed: 0,Unnamed: 0.1,camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,center_lat,center_long,elevation,x_resolution,y_resolution,cl_angle,center_angle
75,75,75,hpwren20_south,om-s-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,s,32.59424175,-116.8446861,3565,3072,2048,0.0153733515475069,0.01537335154750697
76,76,76,hpwren20_west,om-w-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,w,32.59483593,-116.8517775,3565,3072,2048,-0.0104239949039891,-0.01042399490398919
77,77,77,hpwren21_north,rm-n-mobo-c,Red Mountain,33.4008,-117.1905,rm,n,33.41066605,-117.1908729,1600,3072,2048,0.0377782985268077,0.03777829852680771
78,78,78,hpwren21_east,rm-e-mobo-c,Red Mountain,33.4008,-117.1905,rm,e,33.40076747,-117.1862292,1600,3072,2048,-0.0076166926409303,-0.007616692640930309
79,79,79,hpwren21_south,rm-s-mobo-c,Red Mountain,33.4008,-117.1905,rm,s,33.39112605,-117.1903989,1600,3072,2048,0.010450366146807,0.010450366146807017
80,80,80,hpwren21_west,rm-w-mobo-c,Red Mountain,33.4008,-117.1905,rm,w,33.40058484,-117.2004684,1600,3072,2048,0.0215808551589043,0.021580855158904302
81,81,81,na,rdd-n-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,n,33.12258198,-117.1211227,950,3072,2048,0.0023827832058723,0.0023827832058723555
82,82,82,na,rdd-e-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,e,33.04397844,-117.1205586,950,3072,2048,-1.560855965384695,-1.560855965384695
83,83,83,na,rdd-s-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,s,33.09371602,-117.118194,950,3072,2048,1.5295219693911823,1.5295219693911823
84,84,84,na,rdd-w-mobo-c,Rincon Del Diablo,33.09383414,-117.1210542,rdd,w,33.09380149,-117.1217033,950,3072,2048,0.0502580580195663,0.0502580580195663
85,85,85,hpwren22_north,sclm-n-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,n,33.47843101,-117.5790061,870,3072,2048,-0.3718603719723091,-0.37186037197230914
86,86,86,hpwren22_east,sclm-e-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,e,33.43119726,-117.5858301,870,3072,2048,-0.0192199488446753,-0.019219948844675382
87,87,87,hpwren22_south,sclm-s-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,s,33.43010171,-117.5972947,870,3072,2048,0.0352976766296234,0.03529767662962347
88,88,88,hpwren22_west,sclm-w-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,w,33.43994077,-117.6351622,870,3072,2048,-0.2216293761858992,-0.22162937618589923
89,89,89,hpwren23_east,sdsc-e-mobo-c,San Diego Supercomputer Center,32.88444531,-117.239762,sdsc,e,32.88279027,-117.2257347,425,2048,1536,-0.1174440988089815,-0.11744409880898155
90,90,90,hpwren24_north,sjh-n-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,n,33.50959831,-117.6028375,1177,3072,2048,-0.042055875703334,-0.042055875703334085
91,91,91,hpwren24_east,sjh-e-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,e,33.50292756,-117.5999521,1177,3072,2048,-0.0045774439409113,-0.004577443940911324
92,92,92,hpwren24_south,sjh-s-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,s,33.49739448,-117.6028632,1177,3072,2048,0.0458258110570608,0.04582581105706088
93,93,93,hpwren24_west,sjh-w-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,w,33.50309263,-117.6246855,1177,3072,2048,-0.0069815584018886,-0.006981558401888695
94,94,94,hpwren25_north,vo-n-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,n,33.16181938,-116.6181518,5500,3072,2048,0.044821728838971,0.04482172883897106
95,95,95,hpwren25_east,vo-e-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,e,33.13889532,-116.5965816,5500,3072,2048,0.0307653328228335,0.030765332822833568
96,96,96,hpwren25_south,vo-s-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,s,33.00057335,-116.5955148,5500,3072,2048,0.1554669896291278,0.15546698962912783
97,97,97,hpwren25_west,vo-w-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,w,33.13983116,-116.6995747,5500,3072,2048,-0.0189982159241369,-0.01899821592413698
98,98,98,na,syp-n-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,n,34.60066741,-119.9422602,4300,3072,2048,-0.4624122781698909,-0.4624122781698909
99,99,99,na,syp-e-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,e,34.5245174,-119.9717901,4300,3072,2048,-0.3489543377107125,-0.34895433771071255
100,100,100,na,syp-s-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,s,34.52205853,-119.9815327,4300,3072,2048,-0.4764746764762355,-0.4764746764762355
101,101,101,na,syp-w-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,w,34.53380388,-119.9934231,4300,3072,2048,-0.4323481608853023,-0.43234816088530237
