name,cam_lat,cam_long,elev,code,dir,fov_center,fov_lft,fov_rt,num_events,event_dates,incident,incident_dist,incident_latitude,incident_longitude,x_pixel,y_pixel,,Miles
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20200822,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20200911,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20210302,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,e,"[-116.23136575570216, 32.7015]","[-116.38619562001993, 33.0197276883123]","[-116.38887682424091, 32.382122568778954]",6,20210302,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190529,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190803,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20190814,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20191001,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20191006,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20191007,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200727,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200727,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200806,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200822,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20200930,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20201105,None,0,0,0,,,0,
Lyons Peak,32.7015,-116.7646,3700,lp,s,"[-116.7646, 32.250623763331724]","[-116.38887682424091, 32.382122568778954]","[-117.14032317575908, 32.38212256877896]",15,20210110,None,0,0,0,,,0,
